SAMPLE NAME	HGNC ID	GENE NAME	PROCESS	LOG2FOLD	P-VALUE
sample1_user	HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	Fatty Acid Degradation & Beta-oxidation	0.362948	0.0112994
sample1_user	HADHB	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta	Fatty Acid Degradation & Beta-oxidation	0.230548	0.171107
sample1_user	ACOT9	acyl-CoA thioesterase 9	Fatty Acid Metabolism	0.0564335	0.687245
sample1_user	ACSF2	acyl-CoA synthetase family member 2	Fatty Acid Metabolism	-0.0883532	0.419647
sample1_user	ACSF3	acyl-CoA synthetase family member 3	Fatty Acid Metabolism	0.147315	0.312308
sample1_user	AGK	acylglycerol kinase	Fatty Acid Metabolism	-0.0276831	0.861905
sample1_user	BDH1	3-hydroxybutyrate dehydrogenase 1	Fatty Acid Metabolism	0.131923	0.689146
sample1_user	HDHD5	haloacid dehalogenase like hydrolase domain containing 5	Fatty Acid Metabolism	0.0949321	0.453833
sample1_user	LYPLA1	lysophospholipase 1	Fatty Acid Metabolism	0.069874	0.538864
sample1_user	LYPLAL1	lysophospholipase like 1	Fatty Acid Metabolism	-0.120608	0.679815
sample1_user	MLYCD	malonyl-CoA decarboxylase	Fatty Acid Metabolism	0.900225	0.000448413
sample1_user	PCCB	propionyl-CoA carboxylase subunit beta	Fatty Acid Metabolism	-0.291056	0.0157265
sample1_user	PNPLA4	patatin like phospholipase domain containing 4	Fatty Acid Metabolism	-0.289863	0.48068
sample1_user	PNPLA8	patatin like phospholipase domain containing 8	Fatty Acid Metabolism	-0.0379694	0.73648
sample1_user	TMLHE	trimethyllysine hydroxylase, epsilon	Fatty Acid Metabolism	0.00102523	0.9919
sample1_user	BOLA1	bolA family member 1	Fe-S Cluster Biosynthesis	0.221784	0.0674594
sample1_user	BOLA3	bolA family member 3	Fe-S Cluster Biosynthesis	0.41262	0.00231009
sample1_user	CIAO1	cytosolic iron-sulfur assembly component 1	Fe-S Cluster Biosynthesis	0.0155781	0.853378
sample1_user	CIAO2A	cytosolic iron-sulfur assembly component 2A	Fe-S Cluster Biosynthesis	0.374886	0.052507
sample1_user	CIAO2B	cytosolic iron-sulfur assembly component 2B	Fe-S Cluster Biosynthesis	0.0358499	0.775336
sample1_user	CIAPIN1	cytokine induced apoptosis inhibitor 1	Fe-S Cluster Biosynthesis	-0.309578	0.06396
sample1_user	FDX1	ferredoxin 1	Fe-S Cluster Biosynthesis	-0.143855	0.324715
sample1_user	FDX2	ferredoxin 2	Fe-S Cluster Biosynthesis	0.296868	0.0340407
sample1_user	FDXR	ferredoxin reductase	Fe-S Cluster Biosynthesis	0.139416	0.554082
sample1_user	FXN	frataxin	Fe-S Cluster Biosynthesis	0.0829328	0.562337
sample1_user	HSCB	HscB mitochondrial iron-sulfur cluster cochaperone	Fe-S Cluster Biosynthesis	0.377085	0.0692684
sample1_user	IBA57	iron-sulfur cluster assembly factor IBA57	Fe-S Cluster Biosynthesis	-0.161898	0.121861
sample1_user	ISCA2	iron-sulfur cluster assembly 2	Fe-S Cluster Biosynthesis	0.0493312	0.734051
sample1_user	ISCU	iron-sulfur cluster assembly enzyme	Fe-S Cluster Biosynthesis	-0.000694534	0.996372
sample1_user	MMS19	MMS19 homolog, cytosolic iron-sulfur assembly component	Fe-S Cluster Biosynthesis	0.0526875	0.680638
sample1_user	NARF	nuclear prelamin A recognition factor	Fe-S Cluster Biosynthesis	0.106083	0.415127
sample1_user	NFS1	NFS1 cysteine desulfurase	Fe-S Cluster Biosynthesis	0.222885	0.048998
sample1_user	NUBP1	nucleotide binding protein 1	Fe-S Cluster Biosynthesis	-0.112474	0.478688
sample1_user	NUBP2	nucleotide binding protein 2	Fe-S Cluster Biosynthesis	0.339582	0.0130018
sample1_user	SLC25A28	solute carrier family 25 member 28	Fe-S Cluster Biosynthesis	-0.0770849	0.561955
sample1_user	SLC25A37	solute carrier family 25 member 37	Fe-S Cluster Biosynthesis	0.0495807	0.702201
sample1_user	ALDH1L1	aldehyde dehydrogenase 1 family member L1	Folate & Pterin Metabolism	-0.170418	0.426026
sample1_user	ALDH1L2	aldehyde dehydrogenase 1 family member L2	Folate & Pterin Metabolism	0.446474	0.078173
sample1_user	FPGS	folylpolyglutamate synthase	Folate & Pterin Metabolism	0.0192674	0.925433
sample1_user	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1	Folate & Pterin Metabolism	-0.226822	0.0443241
sample1_user	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	Folate & Pterin Metabolism	-0.545885	0.181868
sample1_user	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	Folate & Pterin Metabolism	-0.202897	0.27776
sample1_user	MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like	Folate & Pterin Metabolism	0.0593091	0.817981
sample1_user	MTHFS	methenyltetrahydrofolate synthetase	Folate & Pterin Metabolism	-0.225828	0.256005
sample1_user	PTS	6-pyruvoyltetrahydropterin synthase	Folate & Pterin Metabolism	-0.217574	0.121802
sample1_user	SHMT2	serine hydroxymethyltransferase 2	Folate & Pterin Metabolism	0.160209	0.165567
sample1_user	SLC25A32	solute carrier family 25 member 32	Folate & Pterin Metabolism	0.123962	0.492006
sample1_user	AKR1B1	aldo-keto reductase family 1 member B	Fructose Metabolism	-0.0505465	0.758627
sample1_user	ALDH1A1	aldehyde dehydrogenase 1 family member A1	Fructose Metabolism	0.221362	0.391445
sample1_user	GLYCTK	glycerate kinase	Fructose Metabolism	0.179981	0.218411
sample1_user	KHK	ketohexokinase	Fructose Metabolism	-0.505477	0.0695132
sample1_user	SORD	sorbitol dehydrogenase	Fructose Metabolism	0.129807	0.502771
sample1_user	TKFC	triokinase and FMN cyclase	Fructose Metabolism	0.0787787	0.712688
sample1_user	ALDOA	aldolase, fructose-bisphosphate A	Glycolysis	0.0208692	0.805839
sample1_user	ALDOC	aldolase, fructose-bisphosphate C	Glycolysis	-0.56642	0.123743
sample1_user	ENO1	enolase 1	Glycolysis	0.154599	0.267434
sample1_user	ENO2	enolase 2	Glycolysis	0.448661	0.385924
sample1_user	ENO3	enolase 3	Glycolysis	0.160759	0.313469
sample1_user	FBP2	fructose-bisphosphatase 2	Glycolysis	-0.50833	0.521126
sample1_user	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	Glycolysis	0.146664	0.177255
sample1_user	GCK	glucokinase	Glycolysis	-0.0389422	0.911873
sample1_user	GPI	glucose-6-phosphate isomerase	Glycolysis	0.087389	0.375937
sample1_user	HK1	hexokinase 1	Glycolysis	0.135223	0.360255
sample1_user	HK2	hexokinase 2	Glycolysis	0.335883	0.659581
sample1_user	HK3	hexokinase 3	Glycolysis	-0.258256	0.564326
sample1_user	LDHA	lactate dehydrogenase A	Glycolysis	0.0669896	0.67438
sample1_user	LDHB	lactate dehydrogenase B	Glycolysis	0.203333	0.209242
sample1_user	PC	pyruvate carboxylase	Glycolysis	-0.0508261	0.817436
sample1_user	PFKL	phosphofructokinase, liver type	Glycolysis	-0.352786	0.0195011
sample1_user	PFKM	phosphofructokinase, muscle	Glycolysis	-0.195417	0.106634
sample1_user	PFKP	phosphofructokinase, platelet	Glycolysis	1.04323	0.0000481002
sample1_user	PGAM1	phosphoglycerate mutase 1	Glycolysis	-0.0334275	0.814456
sample1_user	PGAM2	phosphoglycerate mutase 2	Glycolysis	0.0262563	0.837433
sample1_user	PGK1	phosphoglycerate kinase 1	Glycolysis	0.0300214	0.722915
sample1_user	PKM	pyruvate kinase M1/2	Glycolysis	0.240423	0.0824113
sample1_user	SLC2A1	solute carrier family 2 member 1	Glycolysis	-0.00598752	0.974923
sample1_user	SLC2A4	solute carrier family 2 member 4	Glycolysis	-0.179044	0.186065
sample1_user	TPI1	triosephosphate isomerase 1	Glycolysis	0.173126	0.142931
sample1_user	ALAS1	5'-aminolevulinate synthase 1	Heme Biosynthesis	-0.0359014	0.754812
sample1_user	CPOX	coproporphyrinogen oxidase	Heme Biosynthesis	-0.0958408	0.58484
sample1_user	FECH	ferrochelatase	Heme Biosynthesis	0.030581	0.792925
sample1_user	FTMT	ferritin mitochondrial	Heme Biosynthesis	-0.475001	0.155502
sample1_user	HMBS	hydroxymethylbilane synthase	Heme Biosynthesis	0.166297	0.178873
sample1_user	UROD	uroporphyrinogen decarboxylase	Heme Biosynthesis	-0.109447	0.319044
sample1_user	UROS	uroporphyrinogen III synthase	Heme Biosynthesis	0.0624189	0.625092
sample1_user	CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4	Import & Sorting	0.106419	0.328422
sample1_user	CHCHD5	coiled-coil-helix-coiled-coil-helix domain containing 5	Import & Sorting	0.36671	0.00338399
sample1_user	CMC2	C-X9-C motif containing 2	Import & Sorting	0.126627	0.415481
sample1_user	DNAJC15	DnaJ heat shock protein family (Hsp40) member C15	Import & Sorting	0.222575	0.110494
sample1_user	DNAJC19	DnaJ heat shock protein family (Hsp40) member C19	Import & Sorting	0.0754079	0.52726
sample1_user	GRPEL1	GrpE like 1, mitochondrial	Import & Sorting	-0.161687	0.110724
sample1_user	GRPEL2	GrpE like 2, mitochondrial	Import & Sorting	0.109132	0.447245
sample1_user	HSPA9	heat shock protein family A (Hsp70) member 9	Import & Sorting	0.0523253	0.596743
sample1_user	HSPE1	heat shock protein family E (Hsp10) member 1	Import & Sorting	0.177637	0.204834
sample1_user	IMMP1L	inner mitochondrial membrane peptidase subunit 1	Import & Sorting	0.269361	0.21078
sample1_user	IMMP2L	inner mitochondrial membrane peptidase subunit 2	Import & Sorting	0.0746121	0.625028
sample1_user	METAP1D	methionyl aminopeptidase type 1D, mitochondrial	Import & Sorting	-0.129104	0.404543
sample1_user	MIPEP	mitochondrial intermediate peptidase	Import & Sorting	-0.0483514	0.748741
sample1_user	MTX1	metaxin 1	Import & Sorting	0.0668531	0.653091
sample1_user	MTX2	metaxin 2	Import & Sorting	0.0363629	0.774425
sample1_user	MTX3	metaxin 3	Import & Sorting	0.438424	0.0900985
sample1_user	PAM16	presequence translocase associated motor 16	Import & Sorting	0.0859314	0.590616
sample1_user	PMPCA	peptidase, mitochondrial processing alpha subunit	Import & Sorting	-0.053258	0.662649
sample1_user	PMPCB	peptidase, mitochondrial processing beta subunit	Import & Sorting	-0.164852	0.187207
sample1_user	PPIF	peptidylprolyl isomerase F	Import & Sorting	0.00196323	0.987536
sample1_user	SAMM50	SAMM50 sorting and assembly machinery component	Import & Sorting	-0.0460088	0.764769
sample1_user	TAMM41	TAM41 mitochondrial translocator assembly and maintenance homolog	Import & Sorting	0.442845	0.00243366
sample1_user	TIMM10	translocase of inner mitochondrial membrane 10	Import & Sorting	0.03375	0.784095
sample1_user	TIMM10B	translocase of inner mitochondrial membrane 10B	Import & Sorting	-0.104278	0.377133
sample1_user	TIMM17A	translocase of inner mitochondrial membrane 17A	Import & Sorting	0.113746	0.267396
sample1_user	TIMM17B	translocase of inner mitochondrial membrane 17B	Import & Sorting	0.0461845	0.728689
sample1_user	TIMM21	translocase of inner mitochondrial membrane 21	Import & Sorting	0.0919009	0.501965
sample1_user	TIMM22	translocase of inner mitochondrial membrane 22	Import & Sorting	0.384825	0.0785762
sample1_user	TIMM23	translocase of inner mitochondrial membrane 23	Import & Sorting	-0.0434396	0.680327
sample1_user	TIMM44	translocase of inner mitochondrial membrane 44	Import & Sorting	-0.00961649	0.931196
sample1_user	TIMM50	translocase of inner mitochondrial membrane 50	Import & Sorting	-0.0277057	0.793094
sample1_user	TIMM8B	translocase of inner mitochondrial membrane 8 homolog B	Import & Sorting	0.012861	0.923833
sample1_user	TIMM9	translocase of inner mitochondrial membrane 9	Import & Sorting	-0.131875	0.25725
sample1_user	TIMMDC1	translocase of inner mitochondrial membrane domain containing 1	Import & Sorting	0.373277	0.0340138
sample1_user	TOMM20	translocase of outer mitochondrial membrane 20	Import & Sorting	0.112796	0.209027
sample1_user	TOMM22	translocase of outer mitochondrial membrane 22	Import & Sorting	0.0646236	0.470563
sample1_user	TOMM34	translocase of outer mitochondrial membrane 34	Import & Sorting	0.0990573	0.449368
sample1_user	TOMM40	translocase of outer mitochondrial membrane 40	Import & Sorting	-0.279461	0.0124691
sample1_user	TOMM40L	translocase of outer mitochondrial membrane 40 like	Import & Sorting	-0.0974383	0.423401
sample1_user	TOMM7	translocase of outer mitochondrial membrane 7	Import & Sorting	0.209358	0.0783508
sample1_user	TOMM70	translocase of outer mitochondrial membrane 70	Import & Sorting	0.0472027	0.615173
sample1_user	YME1L1	YME1 like 1 ATPase	Import & Sorting	0.138446	0.141338
sample1_user	LIAS	lipoic acid synthetase	Lipoic Acid Metabolism	-0.148862	0.276203
sample1_user	LIPT1	lipoyltransferase 1	Lipoic Acid Metabolism	-0.0592795	0.728576
sample1_user	LIPT2	lipoyl(octanoyl) transferase 2	Lipoic Acid Metabolism	0.326716	0.13649
sample1_user	ABCD1	ATP binding cassette subfamily D member 1	Metabolism of Lipids & Lipoproteins	0.508248	0.00071547
sample1_user	ACACA	acetyl-CoA carboxylase alpha	Metabolism of Lipids & Lipoproteins	0.0374052	0.797321
sample1_user	ACP6	acid phosphatase 6, lysophosphatidic	Metabolism of Lipids & Lipoproteins	0.605633	0.0133007
sample1_user	ACSS3	acyl-CoA synthetase short chain family member 3	Metabolism of Lipids & Lipoproteins	-0.189381	0.309514
sample1_user	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5	Metabolism of Lipids & Lipoproteins	0.100494	0.278277
sample1_user	CDS2	CDP-diacylglycerol synthase 2	Metabolism of Lipids & Lipoproteins	0.394054	0.0156186
sample1_user	CYB5R1	cytochrome b5 reductase 1	Metabolism of Lipids & Lipoproteins	0.112935	0.569412
sample1_user	CYB5R2	cytochrome b5 reductase 2	Metabolism of Lipids & Lipoproteins	0.539804	0.276008
sample1_user	CYB5R3	cytochrome b5 reductase 3	Metabolism of Lipids & Lipoproteins	0.224722	0.00873457
sample1_user	CYP27A1	cytochrome P450 family 27 subfamily A member 1	Metabolism of Lipids & Lipoproteins	0.115052	0.658336
sample1_user	FDPS	farnesyl diphosphate synthase	Metabolism of Lipids & Lipoproteins	-0.3891	0.0943794
sample1_user	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial	Metabolism of Lipids & Lipoproteins	0.655129	0.000503608
sample1_user	LACTB	lactamase beta	Metabolism of Lipids & Lipoproteins	-0.107862	0.446179
sample1_user	NUDT19	nudix hydrolase 19	Metabolism of Lipids & Lipoproteins	-0.0964547	0.440876
sample1_user	OPA3	OPA3 outer mitochondrial membrane lipid metabolism regulator	Metabolism of Lipids & Lipoproteins	0.123431	0.241205
sample1_user	PISD	phosphatidylserine decarboxylase	Metabolism of Lipids & Lipoproteins	-0.438098	0.00294706
sample1_user	PRELID3A	PRELI domain containing 3A	Metabolism of Lipids & Lipoproteins	0.31444	0.0621347
sample1_user	PRELID3B	PRELI domain containing 3B	Metabolism of Lipids & Lipoproteins	-0.119087	0.314391
sample1_user	SARDH	sarcosine dehydrogenase	Metabolism of Lipids & Lipoproteins	0.147289	0.595448
sample1_user	SERAC1	serine active site containing 1	Metabolism of Lipids & Lipoproteins	0.0145475	0.931227
sample1_user	SLC27A3	solute carrier family 27 member 3	Metabolism of Lipids & Lipoproteins	-0.16616	0.580772
sample1_user	STARD7	StAR related lipid transfer domain containing 7	Metabolism of Lipids & Lipoproteins	0.141089	0.147818
sample1_user	CLYBL	citrate lyase beta like	Metabolism of Vitamins & Co-Factors	0.0262006	0.873257
sample1_user	COASY	Coenzyme A synthase	Metabolism of Vitamins & Co-Factors	0.352513	0.0149732
sample1_user	CYB5A	cytochrome b5 type A	Metabolism of Vitamins & Co-Factors	0.0927198	0.502824
sample1_user	CYB5B	cytochrome b5 type B	Metabolism of Vitamins & Co-Factors	0.0422552	0.737257
sample1_user	MMAA	metabolism of cobalamin associated A	Metabolism of Vitamins & Co-Factors	0.222549	0.245548
sample1_user	MMAB	metabolism of cobalamin associated B	Metabolism of Vitamins & Co-Factors	0.0247619	0.886866
sample1_user	MMADHC	metabolism of cobalamin associated D	Metabolism of Vitamins & Co-Factors	0.0372054	0.723558
sample1_user	NAXD	NAD(P)HX dehydratase	Metabolism of Vitamins & Co-Factors	0.346405	0.00128205
sample1_user	NAXE	NAD(P)HX epimerase	Metabolism of Vitamins & Co-Factors	-0.0171644	0.85652
sample1_user	NMNAT3	nicotinamide nucleotide adenylyltransferase 3	Metabolism of Vitamins & Co-Factors	0.135717	0.372077
sample1_user	PANK2	pantothenate kinase 2	Metabolism of Vitamins & Co-Factors	-0.147667	0.353865
sample1_user	RDH13	retinol dehydrogenase 13	Metabolism of Vitamins & Co-Factors	-0.66415	0.000377658
sample1_user	SLC16A7	solute carrier family 16 member 7	Mitochondrial Carrier	-0.110137	0.780762
sample1_user	SLC22A4	solute carrier family 22 member 4	Mitochondrial Carrier	-0.282676	0.247944
sample1_user	SLC25A10	solute carrier family 25 member 10	Mitochondrial Carrier	0.0884603	0.620134
sample1_user	SLC25A11	solute carrier family 25 member 11	Mitochondrial Carrier	-0.000858159	0.99248
sample1_user	SLC25A14	solute carrier family 25 member 14	Mitochondrial Carrier	0.29867	0.308662
sample1_user	SLC25A16	solute carrier family 25 member 16	Mitochondrial Carrier	-0.512135	0.0110641
sample1_user	SLC25A18	solute carrier family 25 member 18	Mitochondrial Carrier	-0.0462503	0.941568
sample1_user	SLC25A19	solute carrier family 25 member 19	Mitochondrial Carrier	0.256141	0.144329
sample1_user	SLC25A20	solute carrier family 25 member 20	Mitochondrial Carrier	0.520857	0.00675164
sample1_user	SLC25A21	solute carrier family 25 member 21	Mitochondrial Carrier	-0.042402	0.828709
sample1_user	SLC25A22	solute carrier family 25 member 22	Mitochondrial Carrier	-0.156538	0.708095
sample1_user	SLC25A23	solute carrier family 25 member 23	Mitochondrial Carrier	0.304122	0.0355206
sample1_user	SLC25A24	solute carrier family 25 member 24	Mitochondrial Carrier	0.355034	0.0380854
sample1_user	SLC25A25	solute carrier family 25 member 25	Mitochondrial Carrier	-1.40563	0.00019772
sample1_user	SLC25A26	solute carrier family 25 member 26	Mitochondrial Carrier	0.252256	0.0926763
sample1_user	SLC25A27	solute carrier family 25 member 27	Mitochondrial Carrier	0.452067	0.0504529
sample1_user	SLC25A29	solute carrier family 25 member 29	Mitochondrial Carrier	-0.204936	0.223006
sample1_user	SLC25A3	solute carrier family 25 member 3	Mitochondrial Carrier	0.117871	0.174476
sample1_user	SLC25A30	solute carrier family 25 member 30	Mitochondrial Carrier	-0.178046	0.424506
sample1_user	SLC25A33	solute carrier family 25 member 33	Mitochondrial Carrier	-0.395081	0.0194595
sample1_user	SLC25A34	solute carrier family 25 member 34	Mitochondrial Carrier	1.22801	0.000117083
sample1_user	SLC25A35	solute carrier family 25 member 35	Mitochondrial Carrier	0.112502	0.731772
sample1_user	SLC25A36	solute carrier family 25 member 36	Mitochondrial Carrier	-0.211956	0.0806212
sample1_user	SLC25A38	solute carrier family 25 member 38	Mitochondrial Carrier	0.0516218	0.717796
sample1_user	SLC25A39	solute carrier family 25 member 39	Mitochondrial Carrier	0.224757	0.0334952
sample1_user	SLC25A40	solute carrier family 25 member 40	Mitochondrial Carrier	0.521499	0.00327254
sample1_user	SLC25A42	solute carrier family 25 member 42	Mitochondrial Carrier	0.506944	0.0269446
sample1_user	SLC25A44	solute carrier family 25 member 44	Mitochondrial Carrier	0.186834	0.0803357
sample1_user	SLC25A45	solute carrier family 25 member 45	Mitochondrial Carrier	0.459395	0.220123
sample1_user	SLC25A47	solute carrier family 25 member 47	Mitochondrial Carrier	0.159257	0.597901
sample1_user	SLC27A1	solute carrier family 27 member 1	Mitochondrial Carrier	-0.023001	0.827875
sample1_user	SLC29A1	solute carrier family 29 member 1 (Augustine blood group)	Mitochondrial Carrier	0.125757	0.436686
sample1_user	SLC3A1	solute carrier family 3 member 1	Mitochondrial Carrier	-0.37783	0.217619
sample1_user	SLC44A1	solute carrier family 44 member 1	Mitochondrial Carrier	-0.217352	0.256294
sample1_user	UCP2	uncoupling protein 2	Mitochondrial Carrier	0.938893	0.00393607
sample1_user	UCP3	uncoupling protein 3	Mitochondrial Carrier	-0.612732	0.636502
sample1_user	ACTR2	actin related protein 2	Mitochondrial Dynamics	0.293015	0.0320161
sample1_user	AFG3L2	AFG3 like matrix AAA peptidase subunit 2	Mitochondrial Dynamics	0.130157	0.248617
sample1_user	AGTPBP1	ATP/GTP binding protein 1	Mitochondrial Dynamics	-0.20744	0.304692
sample1_user	APOO	apolipoprotein O	Mitochondrial Dynamics	0.00171647	0.990902
sample1_user	APOOL	apolipoprotein O like	Mitochondrial Dynamics	0.325478	0.467465
sample1_user	ARPC3	actin related protein 2/3 complex subunit 3	Mitochondrial Dynamics	0.269355	0.0561472
sample1_user	ARPC5	actin related protein 2/3 complex subunit 5	Mitochondrial Dynamics	0.180403	0.240306
sample1_user	ATAD3A	ATPase family AAA domain containing 3A	Mitochondrial Dynamics	-0.275582	0.0384962
sample1_user	CHCHD10	coiled-coil-helix-coiled-coil-helix domain containing 10	Mitochondrial Dynamics	-0.123843	0.302168
sample1_user	CHCHD3	coiled-coil-helix-coiled-coil-helix domain containing 3	Mitochondrial Dynamics	0.0220634	0.856111
sample1_user	CHCHD6	coiled-coil-helix-coiled-coil-helix domain containing 6	Mitochondrial Dynamics	0.389362	0.0557613
sample1_user	DNM1L	dynamin 1 like	Mitochondrial Dynamics	0.100421	0.290708
sample1_user	FIS1	fission, mitochondrial 1	Mitochondrial Dynamics	0.0600655	0.607504
sample1_user	FUNDC1	FUN14 domain containing 1	Mitochondrial Dynamics	0.0344063	0.794867
sample1_user	FUNDC2	FUN14 domain containing 2	Mitochondrial Dynamics	0.0477707	0.610829
sample1_user	GDAP1	ganglioside induced differentiation associated protein 1	Mitochondrial Dynamics	0.237273	0.434427
sample1_user	IMMT	inner membrane mitochondrial protein	Mitochondrial Dynamics	0.165779	0.160668
sample1_user	KIF1B	kinesin family member 1B	Mitochondrial Dynamics	0.0931258	0.483223
sample1_user	KIF5B	kinesin family member 5B	Mitochondrial Dynamics	-0.413848	0.00702548
sample1_user	LYRM1	LYR motif containing 1	Mitochondrial Dynamics	0.11823	0.359879
sample1_user	MFF	mitochondrial fission factor	Mitochondrial Dynamics	0.248158	0.0109692
sample1_user	MFN1	mitofusin 1	Mitochondrial Dynamics	-0.0193147	0.851345
sample1_user	MFN2	mitofusin 2	Mitochondrial Dynamics	-0.00474753	0.970589
sample1_user	MGARP	mitochondria localized glutamic acid rich protein	Mitochondrial Dynamics	-0.772069	0.352135
sample1_user	MICOS10	mitochondrial contact site and cristae organizing system subunit 10	Mitochondrial Dynamics	0.253379	0.107292
sample1_user	MICOS13	mitochondrial contact site and cristae organizing system subunit 13	Mitochondrial Dynamics	0.161108	0.244852
sample1_user	MIEF1	mitochondrial elongation factor 1	Mitochondrial Dynamics	-0.294311	0.00668324
sample1_user	MIEF2	mitochondrial elongation factor 2	Mitochondrial Dynamics	0.190566	0.107085
sample1_user	MSTO1	misato mitochondrial distribution and morphology regulator 1	Mitochondrial Dynamics	0.0819025	0.530788
sample1_user	MTFP1	mitochondrial fission process 1	Mitochondrial Dynamics	0.16089	0.202706
sample1_user	MTFR1	mitochondrial fission regulator 1	Mitochondrial Dynamics	0.010458	0.952672
sample1_user	MTFR1L	mitochondrial fission regulator 1 like	Mitochondrial Dynamics	0.164108	0.0875884
sample1_user	OMA1	OMA1 zinc metallopeptidase	Mitochondrial Dynamics	0.039503	0.778274
sample1_user	OPA1	OPA1 mitochondrial dynamin like GTPase	Mitochondrial Dynamics	0.00890973	0.942053
sample1_user	PHB2	prohibitin 2	Mitochondrial Dynamics	0.0708982	0.669835
sample1_user	PKIA	cAMP-dependent protein kinase inhibitor alpha	Mitochondrial Dynamics	0.0702172	0.607449
sample1_user	RHOT1	ras homolog family member T1	Mitochondrial Dynamics	-0.224348	0.0561272
sample1_user	RHOT2	ras homolog family member T2	Mitochondrial Dynamics	-0.202653	0.171705
sample1_user	SH3GLB1	SH3 domain containing GRB2 like, endophilin B1	Mitochondrial Dynamics	0.255044	0.0289045
sample1_user	SLC25A4	solute carrier family 25 member 4	Mitochondrial Dynamics	0.0497575	0.630667
sample1_user	SLC25A46	solute carrier family 25 member 46	Mitochondrial Dynamics	0.0963052	0.460379
sample1_user	SLC25A5	solute carrier family 25 member 5	Mitochondrial Dynamics	-0.0867119	0.420206
sample1_user	SPG7	SPG7 matrix AAA peptidase subunit, paraplegin	Mitochondrial Dynamics	-0.0816752	0.367444
sample1_user	SQSTM1	sequestosome 1	Mitochondrial Dynamics	-0.180029	0.111384
sample1_user	STOML2	stomatin like 2	Mitochondrial Dynamics	-0.0714536	0.458075
sample1_user	SYBU	syntabulin	Mitochondrial Dynamics	-0.266352	0.320035
sample1_user	TCAIM	T cell activation inhibitor, mitochondrial	Mitochondrial Dynamics	0.183071	0.089331
sample1_user	TMEM11	transmembrane protein 11	Mitochondrial Dynamics	0.0960504	0.40826
sample1_user	TRAK1	trafficking kinesin protein 1	Mitochondrial Dynamics	0.147439	0.0856698
sample1_user	TRAK2	trafficking kinesin protein 2	Mitochondrial Dynamics	0.195073	0.169673
sample1_user	USP30	ubiquitin specific peptidase 30	Mitochondrial Dynamics	0.065811	0.639226
sample1_user	WDR81	WD repeat domain 81	Mitochondrial Dynamics	0.481986	0.0061081
sample1_user	AKAP1	A-kinase anchoring protein 1	Mitochondrial Signaling	-0.0140677	0.923091
sample1_user	AKAP10	A-kinase anchoring protein 10	Mitochondrial Signaling	0.261902	0.0448849
sample1_user	AKT1	AKT serine/threonine kinase 1	Mitochondrial Signaling	0.0541501	0.562987
sample1_user	CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2	Mitochondrial Signaling	0.114522	0.303442
sample1_user	GSK3B	glycogen synthase kinase 3 beta	Mitochondrial Signaling	0.313668	0.0666921
sample1_user	IDE	insulin degrading enzyme	Mitochondrial Signaling	0.0718843	0.544936
sample1_user	MAVS	mitochondrial antiviral signaling protein	Mitochondrial Signaling	0.121887	0.201838
sample1_user	MTOR	mechanistic target of rapamycin kinase	Mitochondrial Signaling	0.26079	0.0257005
sample1_user	NLRX1	NLR family member X1	Mitochondrial Signaling	0.319214	0.0190052
sample1_user	PRKACA	protein kinase cAMP-activated catalytic subunit alpha	Mitochondrial Signaling	0.211088	0.0321646
sample1_user	PRKCE	protein kinase C epsilon	Mitochondrial Signaling	0.503627	0.266399
sample1_user	SHC1	SHC adaptor protein 1	Mitochondrial Signaling	0.0194909	0.884829
sample1_user	SIRT1	sirtuin 1	Mitochondrial Signaling	-0.21089	0.0916946
sample1_user	SIRT2	sirtuin 2	Mitochondrial Signaling	0.164896	0.106871
sample1_user	SIRT3	sirtuin 3	Mitochondrial Signaling	-0.0195334	0.884442
sample1_user	SIRT4	sirtuin 4	Mitochondrial Signaling	0.346119	0.0780922
sample1_user	SIRT5	sirtuin 5	Mitochondrial Signaling	-0.0661248	0.525355
sample1_user	SYNJ2BP	synaptojanin 2 binding protein	Mitochondrial Signaling	0.309028	0.0766709
sample1_user	AMBRA1	autophagy and beclin 1 regulator 1 	Mitophagy	-0.0864781	0.487097
sample1_user	ATG5	autophagy related 5 	Mitophagy	0.369244	0.0123432
sample1_user	ATG9B	autophagy related 9B 	Mitophagy	-0.0354818	0.912313
sample1_user	BECN1	beclin 1	Mitophagy	0.200416	0.144492
sample1_user	CALCOCO2	calcium binding and coiled-coil domain 2 	Mitophagy	0.122029	0.160341
